date,adjclose
2017-06-08,210.8473
2017-06-09,210.5274
2017-06-12,210.4841
2017-06-13,211.5134
2017-06-14,211.2452
2017-06-15,210.8387
2017-06-16,210.8848
2017-06-19,212.6405
2017-06-20,211.2063
2017-06-21,211.1543
2017-06-22,211.0586
2017-06-23,211.3107
2017-06-26,211.4497
2017-06-27,209.7462
2017-06-28,211.6236
2017-06-29,209.7636
2017-06-30,210.1547
2017-07-03,210.5111
2017-07-05,210.9978
2017-07-06,209.0684
2017-07-07,210.4242
2017-07-10,210.6502
2017-07-11,210.4937
2017-07-12,212.0755
2017-07-13,212.4319
2017-07-14,213.4227
2017-07-17,213.3966
2017-07-18,213.5096
2017-07-19,214.6655
2017-07-20,214.7611
2017-07-21,214.5699
2017-07-24,214.5177
2017-07-25,215.0392
2017-07-26,215.0479
2017-07-27,214.848
2017-07-28,214.596
2017-07-31,214.4743
2017-08-01,214.9523
2017-08-02,215.0567
2017-08-03,214.6395
2017-08-04,215.0305
2017-08-07,215.4303
2017-08-08,214.9002
2017-08-09,214.8915
2017-08-10,211.8582
2017-08-11,212.1711
2017-08-14,214.2744
2017-08-15,214.2483
2017-08-16,214.622
2017-08-17,211.276
2017-08-18,210.9456
2017-08-21,211.1108
2017-08-22,213.3184
2017-08-23,212.5535
2017-08-24,212.0582
2017-08-25,212.5535
2017-08-28,212.5622
2017-08-29,212.8056
2017-08-30,213.8138
2017-08-31,215.1001
2017-09-01,215.4043
2017-09-05,213.8572
2017-09-06,214.5873
2017-09-07,214.5612
2017-09-08,214.3092
2017-09-11,216.595
2017-09-12,217.3251
2017-09-13,217.4294
2017-09-14,217.3598
2017-09-15,217.6524
2017-09-18,218.1154
2017-09-19,218.3337
2017-09-20,218.4123
2017-09-21,217.8271
2017-09-22,217.8708
2017-09-25,217.4253
2017-09-26,217.5564
2017-09-27,218.4036
2017-09-28,218.6656
2017-09-29,219.4342
2017-10-02,220.3863
2017-10-03,220.858
2017-10-04,221.1199
2017-10-05,222.4302
2017-10-06,222.1768
2017-10-09,221.81
2017-10-10,222.3952
2017-10-11,222.7446
2017-10-12,222.4126
2017-10-13,222.6834
2017-10-16,222.9804
2017-10-17,223.1376
2017-10-18,223.356
2017-10-19,223.4171
2017-10-20,224.5701
2017-10-23,223.6966
2017-10-24,224.0897
2017-10-25,222.9804
2017-10-26,223.2686
2017-10-27,225.0941
2017-10-30,224.2556
2017-10-31,224.605
2017-11-01,224.9019
2017-11-02,224.9893
2017-11-03,225.7405
2017-11-06,226.0898
2017-11-07,225.9326
2017-11-08,226.3169
2017-11-09,225.4959
2017-11-10,225.426
2017-11-13,225.6356
2017-11-14,225.1116
2017-11-15,223.9849
2017-11-16,225.889
2017-11-17,225.2251
2017-11-20,225.6094
2017-11-21,227.0856
2017-11-22,226.8847
2017-11-24,227.4087
2017-11-27,227.2952
2017-11-28,229.601
2017-11-29,229.4613
2017-11-30,231.4703
2017-12-01,230.9899
2017-12-04,230.7103
2017-12-05,229.8806
2017-12-06,229.9242
2017-12-07,230.6492
2017-12-08,231.9069
2017-12-11,232.6057
2017-12-12,233.0162
2017-12-13,232.99
2017-12-14,232.0379
2017-12-15,233.9702
2017-12-18,235.4539
2017-12-19,234.5497
